epoch (ms),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category
2019-01-14 14:04:10.500,0.059,-0.423,0.261,-17.774,-0.4575,-3.567,A,row,heavy
2019-01-14 14:04:10.600,0.063,-0.532,0.241,-25.528333333333336,0.325,-0.30466666666666664,A,row,heavy
2019-01-14 14:04:10.700,0.138,-0.9015,0.1535,-34.573,7.3475,6.128,A,row,heavy
2019-01-14 14:04:10.800,0.17,-1.101,0.087,-29.451000000000004,2.357666666666667,8.963333333333333,A,row,heavy
2019-01-14 14:04:10.900,0.143,-1.137,0.042,-22.866,-1.5545,15.213000000000001,A,row,heavy
2019-01-14 14:04:11.000,0.145,-1.138,-0.036,-23.576999999999998,9.125666666666667,11.606,A,row,heavy
2019-01-14 14:04:11.100,0.1015,-1.2595,-0.0595,-13.75,-2.683,1.555,A,row,heavy
2019-01-14 14:04:11.200,0.095,-1.196,-0.125,-5.1626666666666665,-0.3456666666666666,-3.0693333333333332,A,row,heavy
2019-01-14 14:04:11.300,0.104,-1.143,-0.092,-0.6100000000000001,0.6095000000000002,-5.0915,A,row,heavy
2019-01-14 14:04:11.400,0.075,-0.999,-0.093,5.122,-5.203666666666667,0.18300000000000002,A,row,heavy
2019-01-14 14:04:11.500,0.083,-0.8345,-0.0125,4.695,-7.6525,6.4635,A,row,heavy
2019-01-14 14:04:11.600,0.08,-0.971,-0.081,5.061,-5.508,10.020000000000001,A,row,heavy
2019-01-14 14:04:11.700,0.076,-1.108,-0.044,1.4935,-0.21350000000000002,4.8475,A,row,heavy
2019-01-14 14:04:11.800,0.073,-1.218,-0.096,15.63,-1.4026666666666667,-1.2196666666666667,A,row,heavy
2019-01-14 14:04:11.900,0.08,-1.3265,-0.10899999999999999,24.4815,-4.7255,-15.2745,A,row,heavy
2019-01-14 14:04:12.000,0.123,-1.309,-0.029,33.63833333333333,-14.674666666666667,-19.288666666666668,A,row,heavy
2019-01-14 14:04:12.100,0.148,-1.205,0.035,37.286500000000004,-14.055,-19.146,A,row,heavy
2019-01-14 14:04:12.200,0.172,-1.097,0.135,32.66266666666667,-4.410666666666667,-11.585666666666667,A,row,heavy
2019-01-14 14:04:12.300,0.156,-0.8625,0.16449999999999998,25.122,-5.061,2.7744999999999997,A,row,heavy
2019-01-14 14:04:12.400,0.064,-0.484,0.165,4.227333333333334,-0.8740000000000001,12.012,A,row,heavy
2019-01-14 14:04:12.500,0.051,-0.371,0.3,-18.4755,8.262,2.561,A,row,heavy
2019-01-14 14:04:12.600,0.092,-0.556,0.157,-27.743666666666666,2.1343333333333336,-0.18300000000000005,A,row,heavy
2019-01-14 14:04:12.700,0.147,-0.9410000000000001,0.14100000000000001,-32.3475,2.378,9.5735,A,row,heavy
2019-01-14 14:04:12.800,0.139,-1.089,0.083,-31.097333333333335,-4.695333333333333,5.609999999999999,A,row,heavy
2019-01-14 14:04:12.900,0.146,-1.163,0.073,-26.0365,6.371499999999999,11.311,A,row,heavy
2019-01-14 14:04:13.000,0.161,-1.15,-0.057,-14.248,1.6056666666666668,15.853666666666667,A,row,heavy
2019-01-14 14:04:13.100,0.1055,-1.229,-0.0695,2.7435,-1.585,10.244,A,row,heavy
2019-01-14 14:04:13.200,0.087,-1.307,-0.103,17.845333333333333,-4.065,-1.8093333333333337,A,row,heavy
2019-01-14 14:04:13.300,0.096,-1.322,-0.064,22.195,-11.9205,-10.3355,A,row,heavy
2019-01-14 14:04:13.400,0.106,-1.294,-0.038,25.670666666666666,-1.8086666666666666,-16.727666666666668,A,row,heavy
2019-01-14 14:04:13.500,0.152,-1.2165,0.06,41.22,-24.5125,-13.5975,A,row,heavy
2019-01-14 14:04:13.600,0.158,-1.044,0.152,37.764,-5.894333333333333,-9.512,A,row,heavy
2019-01-14 14:04:13.700,0.166,-0.897,0.206,27.896,-2.7135,-5.915,A,row,heavy
2019-01-14 14:04:13.800,0.142,-0.755,0.242,23.84166666666667,1.2806666666666666,9.045,A,row,heavy
2019-01-14 14:04:13.900,0.05,-0.4065,0.2025,-8.171,1.4024999999999999,12.6525,A,row,heavy
2019-01-14 14:04:14.000,0.039,-0.523,0.274,-39.77633333333333,-0.3456666666666666,-4.593666666666667,A,row,heavy
2019-01-14 14:04:14.100,0.188,-0.887,0.166,-46.0065,4.787,7.8965000000000005,A,row,heavy
